"","Scientificname"
"1","No fish"
"2","Callinectes sapidus"
"3","Fundulus grandis"
"4","Lagodon rhomboides"
"5","Sciaenops ocellatus"
"6","Farfantepenaeus spp."
"7","Syngnathus scovelli"
"8","Hypsoblennius hentz"
"9","Symphurus plagiusa"
"10","Farfantepenaeus duorarum"
"11","Syngnathus louisianae"
"12","Serraniculus pumilio"
"13","Ctenogobius boleosoma"
"14","Sphoeroides nephelus"
"15","Menidia spp."
"16","Micropogonias undulatus"
"17","Mugil cephalus"
"18","Mugil curema"
"19","Leiostomus xanthurus"
"20","Cyprinodon variegatus"
"21","Fundulus similis"
"22","Lucania parva"
"23","Menticirrhus americanus"
"24","Dasyatis sabina"
"25","Urophycis floridana"
"26","Microgobius gulosus"
"27","Elops saurus"
"28","Peprilus burti"
"29","Myrophis punctatus"
"30","Etropus crossotus"
"31","Prionotus scitulus"
"32","Prionotus tribulus"
"33","Brevoortia spp."
"34","Anchoa spp."
"35","Citharichthys spilopterus"
"36","Farfantepenaeus aztecus"
"37","Gobiosoma robustum"
"38","Stephanolepis hispidus"
"39","Astroscopus y-graecum"
"40","Menticirrhus saxatilis"
"41","Paralichthys albigutta"
"42","Bairdiella chrysoura"
"43","Achirus lineatus"
"44","Sphoeroides parvus"
"45","Gobiosoma bosc"
"46","Membras martinica"
"47","Paralichthys squamilentus"
"48","Menippe spp."
"49","Sphyraena borealis"
"50","Microgobius thalassinus"
"51","Poecilia latipinna"
"52","Orthopristis chrysoptera"
"53","Cynoscion nebulosus"
"54","Synodus foetens"
"55","Eucinostomus spp."
"56","Chloroscombrus chrysurus"
"57","Strongylura marina"
"58","Chasmodes saburrae"
"59","Oligoplites saurus"
"60","Menticirrhus littoralis"
"61","Hippocampus erectus"
"62","Archosargus probatocephalus"
"63","Caranx hippos"
"64","Ariopsis felis"
"65","Cynoscion arenarius"
"66","Menticirrhus spp."
"67","Dorosoma petenense"
"68","Syngnathus floridae"
"69","Trinectes maculatus"
"70","Litopenaeus setiferus"
"71","Gobionellus oceanicus"
"72","Harengula jaguana"
"73","Trachinotus falcatus"
"74","Opisthonema oglinum"
"75","Peprilus paru"
"76","Lutjanus synagris"
"77","Opsanus beta"
"78","Chilomycterus schoepfii"
"79","Lutjanus griseus"
"80","Ctenogobius shufeldti"
"81","Acanthostracion quadricornis"
"82","Halichoeres bivittatus"
"83","Strongylura notata"
"84","Stellifer lanceolatus"
"85","Nicholsina usta"
"86","Diplectrum bivittatum"
"87","Lepomis spp."
"88","Mycteroperca microlepis"
"89","Paralichthys lethostigma"
"90","Pogonias cromis"
"91","Callinectes similis"
"92","Bagre marinus"
"93","Echeneis naucrates"
"94","Callinectes spp."
"95","Dasyatis say"
"96","Sardinella aurita"
"97","Selene vomer"
"98","Limulus polyphemus"
"99","Bothidae spp."
"100","Serranus subligarius"
"101","Monacanthus ciliatus"
"102","Hippocampus zosterae"
"103","Urophycis regia"
"104","Fundulus spp."
"105","Mugil spp."
"106","Hyporhamphus meeki"
"107","Strongylura spp."
"108","Rhinoptera bonasus"
"109","Porichthys plectrodon"
"110","Trachinotus carolinus"
"111","Membras spp."
"112","Pomatomus saltatrix"
"113","Chaetodipterus faber"
"114","Hemicaranx amblyrhynchus"
"115","Diplectrum formosum"
"116","Gymnura micrura"
"117","Citharichthys macrops"
"118","Calamus arctifrons"
"119","Centropristis striata"
"120","Stomolophus meleagris"
"121","Hypsoblennius ionthas"
"122","Adinia xenica"
"123","Gobiesox strumosus"
"124","Ophichthus gomesii"
"125","Cyprinidae spp."
"126","Micropterus salmoides"
"127","Ictalurus punctatus"
"128","Lepisosteus osseus"
